,Committees,Republican,Democrate
0,Agriculture,,
1,Appropriations,,
2,Armed Services,,
3,Budget,,
4,Education and Labor,,
5,Energy and Commerce,,
6,Ethics,,
7,Financial Services,,
8,Foreign Affairs,,
9,Intelligence,,
10,Judiciary,,
11,Rules,,
12,"Science, Space, and Technology",,
13,Select Committee on the Climate Crisis,,
14,Small Business,,
15,Transportation and Infrastructure,,
16,Veterans' Affairs,,
17,Ways and Means,,
18,Homeland Security,,
19,House Administration,,
20,Natural Resources,,
21,Oversight and Reform,,
22,Veterans' Affairs,,
Agriculture,,21,26
Appropriations,,23,30
Armed Services,,26,31
Budget,,13,22
Education and Labor,,22,28
Energy and Commerce,,24,31
Ethics,,5,5
Financial Services,,26,34
Foreign Affairs,,21,26
Intelligence,,9,13
Judiciary,,17,24
Rules,,4,9
"Science, Space, and Technology",,17,22
Select Committee on the Climate Crisis,,6,9
Small Business,,10,14
Transportation and Infrastructure,,30,37
Veterans' Affairs,,12,16
Ways and Means,,17,25
Homeland Security,,13,18
House Administration,,3,6
Natural Resources,,19,25
Oversight and Reform,,18,24
