web-scraper-order,web-scraper-start-url,paginator,bill_id,link_to_bill-href,bill_name,committees,summary
1684270591-1,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8568,https://www.congress.gov/bill/116th-congress/house-bill/8568?s=9&r=500,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill provides statutory authority for certain infection control and emergency preparedness requirements for Medicare skilled nursing facilities and Medicaid nursing facilities, and expands certain requirements to apply to other infectious disease outbreaks beyond COVID-19 (i.e., coronavirus disease 2019)."
1684270596-2,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8569,https://www.congress.gov/bill/116th-congress/house-bill/8569?s=9&r=499,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill establishes within the executive branch a National Disaster Safety Board to study the underlying causes of disaster-related fatalities and property damage nationwide and make policy recommendations, and authorizes appropriations for the board through FY2024."
1684270601-3,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8570,https://www.congress.gov/bill/116th-congress/house-bill/8570?s=9&r=498,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill directs the Department of Education to establish (1) a Teacher Advisory Committee to monitor the implementation and impact of the Every Student Succeeds Act (ESSA), the elementary and secondary education law that replaced the No Child Left Behind Act; and (2) a Parents and Families Advisory Committee to monitor the effects and implementation of the ESSA on children and families and to review and analyze the implementation of various family engagement activities."
1684270610-4,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8571,https://www.congress.gov/bill/116th-congress/house-bill/8571?s=9&r=497,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill directs the Department of Defense and the Department of Veterans Affairs to update interoperable electronic health record systems to include certain information about deployments.
1684270619-5,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8572,https://www.congress.gov/bill/116th-congress/house-bill/8572?s=9&r=496,Preserving Charitable Incentives Act,Committees: House - Ways and Means,This bill addresses storage of spent nuclear fuel and high-level radioactive waste in the United States.
1684270624-6,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8573,https://www.congress.gov/bill/116th-congress/house-bill/8573?s=9&r=495,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill prohibits deductibles for outpatient pediatric services under private health insurance, Medicaid, the Children's Health Insurance Program (CHIP), and TRICARE."
1684270632-7,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8574,https://www.congress.gov/bill/116th-congress/house-bill/8574?s=9&r=494,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill establishes a series of requirements for Medicare skilled nursing facilities and Medicaid nursing facilities during declared emergencies relating to infectious disease outbreaks, including specific survey and reporting requirements, and provides funds for state survey agencies to conduct related investigations."
1684270638-8,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8575,https://www.congress.gov/bill/116th-congress/house-bill/8575?s=9&r=493,Preserving Charitable Incentives Act,Committees: House - Ways and Means,
1684270646-9,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8576,https://www.congress.gov/bill/116th-congress/house-bill/8576?s=9&r=492,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill requires the Government Accountability Office (GAO) to report on discrimination in private passenger automobile insurance coverage. Specifically, the GAO must report every two years on"
1684270652-10,"https://www.congress.gov/search?q={%22source%22:%22legislation%22,%22congress%22:116}&pageSize=250&page=1",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A116%7D&pageSize=250&page=2,H.R.8577,https://www.congress.gov/bill/116th-congress/house-bill/8577?s=9&r=491,Preserving Charitable Incentives Act,Committees: House - Ways and Means,"This bill requires the Department of Justice to award grants to one or more national intermediaries (i.e., nonprofit organizations with experience in programs that deliver education and work experience to certain disadvantaged youth) to develop, implement, and collect data from Civic Justice Corps programs administered by at least ten local subgrantees in specified geographic regions. Such programs shall intentionally recruit and primarily enroll as participants court-involved, previously incarcerated, and otherwise disadvantaged youth and young adults between the ages of 16 and 25, and provide such participants with educational programming and support designed to lead to a high school diploma or its recognized equivalent."
